id,tissue
PD1_6_PRE,melanoma
PD1_7_PRE,melanoma
PD1_8_EDT,melanoma
PD1_9_PRE,melanoma
ipiPD1_4_EDT,melanoma
ipiPD1_7_PRE,melanoma
PD1_30_PRE,melanoma
PD1_4_PRE,melanoma
PD1_8_PRE,melanoma
SRR10263552,ileum colon
SRR10263553,ileum colon
SRR10263554,ileum colon
SRR10263615,ileum colon
SRR10263616,ileum colon
SRR10263617,ileum colon
SRR10263618,ileum colon
SRR10263619,ileum colon
SRR10263620,ileum colon
SRR10263621,ileum colon
SRR10263622,ileum colon
SRR10263623,ileum colon
SRR10263624,ileum colon
SRR10263625,ileum colon
SRR10263626,ileum colon
SRR10263627,ileum colon
SRR10263636,jejunum colon
SRR10263637,jejunum colon
SRR10263638,jejunum colon
SRR10263639,jejunum colon
SRR10263640,jejunum colon
SRR10263641,jejunum colon
SRR10263642,jejunum colon
SRR10263643,jejunum colon
SRR10263644,jejunum colon
SRR10263645,jejunum colon
SRR10263646,jejunum colon
SRR10263647,jejunum colon
SRR10263648,jejunum colon
SRR10263649,jejunum colon
SRR10263650,jejunum colon
SRR10263651,jejunum colon
SRR10263660,duodenum
SRR10263661,duodenum
SRR10263662,duodenum
SRR10263663,duodenum
SRR10263664,duodenum
SRR10263665,duodenum
SRR10263666,duodenum
SRR10263667,duodenum
SRR10263737,proximal colon
SRR10263738,proximal colon
SRR10263739,proximal colon
SRR10263740,proximal colon
SRR10263741,proximal colon
SRR10263742,proximal colon
SRR10263743,proximal colon
SRR10263744,proximal colon
SRR10263753,distal colon
SRR10263754,distal colon
SRR10263755,distal colon
SRR10263756,distal colon
SRR10263757,distal colon
SRR10263758,distal colon
SRR10263759,distal colon
SRR10263760,distal colon
SRR10263769,esophagus
SRR10263770,esophagus
SRR10263771,esophagus
SRR10263772,esophagus
SRR10263773,esophagus
SRR10263774,esophagus
SRR10263775,esophagus
SRR10263776,esophagus
SRR10263785,trachea
SRR10263786,trachea
SRR10263787,trachea
SRR10263788,trachea
SRR10263789,trachea
SRR10263790,trachea
SRR10263791,trachea
SRR10263792,trachea
SRR10263860,vena cava
SRR10263861,vena cava
SRR10263862,vena cava
SRR10263863,vena cava
SRR10263864,vena cava
SRR10263865,vena cava
SRR10263866,vena cava
SRR10263867,vena cava
SRR10263880,pericardium
SRR10263881,pericardium
SRR10263882,pericardium
SRR10263883,pericardium
SRR10263884,pericardium
SRR10263885,pericardium
SRR10263886,pericardium
SRR10263887,pericardium
SRR10263900,left atruim
SRR10263901,left atruim
SRR10263902,left atruim
SRR10263903,left atruim
SRR10263904,left atruim
SRR10263905,left atruim
SRR10263906,left atruim
SRR10263907,left atruim
SRR10263981,left ventricle heart
SRR10263982,left ventricle heart
SRR10263983,left ventricle heart
SRR10263984,left ventricle heart
SRR10263985,left ventricle heart
SRR10263986,left ventricle heart
SRR10263987,left ventricle heart
SRR10263988,left ventricle heart
SRR10263997,right atrium heart
SRR10263998,right atrium heart
SRR10263999,right atrium heart
SRR10264000,right atrium heart
SRR10264001,right atrium heart
SRR10264002,right atrium heart
SRR10264003,right atrium heart
SRR10264004,right atrium heart
SRR10264005,right atrium heart
SRR10264006,right atrium heart
SRR10264007,right atrium heart
SRR10264008,right atrium heart
SRR10264009,right atrium heart
SRR10264010,right atrium heart
SRR10264011,right atrium heart
SRR10264012,right atrium heart
SRR10264021,right ventricle heart
SRR10264022,right ventricle heart
SRR10264023,right ventricle heart
SRR10264024,right ventricle heart
SRR10264025,right ventricle heart
SRR10264026,right ventricle heart
SRR10264027,right ventricle heart
SRR10264028,right ventricle heart
SRR10264029,right ventricle heart
SRR10264030,right ventricle heart
SRR10264031,right ventricle heart
SRR10264032,right ventricle heart
SRR10264033,right ventricle heart
SRR10264034,right ventricle heart
SRR10264035,right ventricle heart
SRR10264036,right ventricle heart
SRR10264109,fallopian tube
SRR10264110,fallopian tube
SRR10264111,fallopian tube
SRR10264112,fallopian tube
SRR10264113,fallopian tube
SRR10264114,fallopian tube
SRR10264115,fallopian tube
SRR10264116,fallopian tube
SRR10264117,fallopian tube
SRR10264118,fallopian tube
SRR10264119,fallopian tube
SRR10264120,fallopian tube
SRR10264121,fallopian tube
SRR10264122,fallopian tube
SRR10264123,fallopian tube
SRR10264124,fallopian tube
SRR10264133,thyroid
SRR10264134,thyroid
SRR10264135,thyroid
SRR10264136,thyroid
SRR10264137,thyroid
SRR10264138,thyroid
SRR10264139,thyroid
SRR10264140,thyroid
SRR10264149,uterus
SRR10264150,uterus
SRR10264151,uterus
SRR10264152,uterus
SRR10264153,uterus
SRR10264154,uterus
SRR10264155,uterus
SRR10264156,uterus
SRR10264225,lymph node
SRR10264226,lymph node
SRR10264227,lymph node
SRR10264228,lymph node
SRR10264229,lymph node
SRR10264230,lymph node
SRR10264231,lymph node
SRR10264232,lymph node
SRR10264241,placenta
SRR10264242,placenta
SRR10264243,placenta
SRR10264244,placenta
SRR10264245,placenta
SRR10264246,placenta
SRR10264247,placenta
SRR10264248,placenta
SRR10264257,breast
SRR10264258,breast
SRR10264259,breast
SRR10264260,breast
SRR10264261,breast
SRR10264262,breast
SRR10264263,breast
SRR10264264,breast
SRR10264273,pancreas
SRR10264274,pancreas
SRR10264275,pancreas
SRR10264276,pancreas
SRR10264277,pancreas
SRR10264278,pancreas
SRR10264279,pancreas
SRR10264280,pancreas
SRR10264353,adipose
SRR10264354,adipose
SRR10264355,adipose
SRR10264356,adipose
SRR10264357,adipose
SRR10264358,adipose
SRR10264359,adipose
SRR10264360,adipose
SRR10264373,liver
SRR10264374,liver
SRR10264375,liver
SRR10264376,liver
SRR10264377,liver
SRR10264378,liver
SRR10264379,liver
SRR10264380,liver
SRR10264393,brain
SRR10264394,brain
SRR10264395,brain
SRR10264396,brain
SRR10264397,brain
SRR10264398,brain
SRR10264399,brain
SRR10264400,brain
SRR10264469,thymus
SRR10264470,thymus
SRR10264471,thymus
SRR10264472,thymus
SRR10264473,thymus
SRR10264474,thymus
SRR10264475,thymus
SRR10264476,thymus
SRR10264477,thymus
SRR10264478,thymus
SRR10264479,thymus
SRR10264480,thymus
SRR10264481,thymus
SRR10264482,thymus
SRR10264483,thymus
SRR10264484,thymus
SRR10264493,heart
SRR10264494,heart
SRR10264495,heart
SRR10264496,heart
SRR10264497,heart
SRR10264498,heart
SRR10264499,heart
SRR10264500,heart
SRR10264501,heart
SRR10264502,heart
SRR10264503,heart
SRR10264504,heart
SRR10264505,heart
SRR10264506,heart
SRR10264507,heart
SRR10264508,heart
SRR10264517,lung
SRR10264518,lung
SRR10264519,lung
SRR10264520,lung
SRR10264521,lung
SRR10264522,lung
SRR10264523,lung
SRR10264524,lung
SRR10264525,lung
SRR10264585,lung
SRR10264586,lung
SRR10264587,lung
SRR10264588,lung
SRR10264589,lung
SRR10264590,lung
SRR10264591,lung
SRR10264600,spleen
SRR10264601,spleen
SRR10264602,spleen
SRR10264603,spleen
SRR10264604,spleen
SRR10264605,spleen
SRR10264606,spleen
SRR10264607,spleen
SRR10264616,testicle
SRR10264617,testicle
SRR10264618,testicle
SRR10264619,testicle
SRR10264620,testicle
SRR10264621,testicle
SRR10264622,testicle
SRR10264623,testicle
SRR10264632,ovary
SRR10264633,ovary
SRR10264634,ovary
SRR10264635,ovary
SRR10264636,ovary
SRR10264637,ovary
SRR10264638,ovary
SRR10264639,ovary
SRR10264707,kidney
SRR10264708,kidney
